# 24-hour MPA fishing-entry forecast for 2024-08-12. 1879 vessels were evaluated near California MPAs. The highest-risk vessel is MMSI 367104040 (KNOX T), 1.0 km from Naples SMCA with a risk score of 1.00, driven by: prior_mpa_entries; traffic_within_10km; dist_to_mpa_m.
mmsi,vessel_name,risk,nearest_mpa,dist_to_mpa_m,sog,cog,heads_toward_mpa,prior_mpa_entries,prior_fishing_tracks,factors,base_date_time,latitude,longitude
366778450,GOLDEN GATE,0.729,Corte Madera Marsh SMP,209.739,5.1,141.6,True,53.0,0.0,prior_mpa_entries; sog; peak_hour,2024-08-12 18:00:10,37.944,-122.507
367001740,CATALINA FLYER,0.728,Upper Newport Bay SMCA,1414.947,0.0,179.2,False,42.0,0.0,prior_mpa_entries; peak_hour; n_prior_mpas_visited,2024-08-12 13:56:21,33.603,-117.899
368041950,SEAKER,0.726,Long Point SMR,1534.926,0.2,360.0,True,19.0,0.0,prior_mpa_entries; sog; traffic_within_10km,2024-08-12 00:21:14,33.393,-118.365
338482323,,0.725,Upper Newport Bay SMCA,1725.638,3.1,140.1,False,5.0,0.0,prior_mpa_entries; sog; peak_hour,2024-08-12 14:05:11,33.612,-117.923
368027590,NEXT PHASE,0.723,Abalone Cove SMCA,10308.638,8.5,167.8,False,3.0,0.0,prior_mpa_entries; sog; traffic_within_10km,2024-08-12 18:00:41,33.588,-118.388
368232490,BELOW THE LINE,0.721,Anacapa Island FMR,863.453,5.8,28.4,False,2.0,0.0,traffic_within_10km; prior_mpa_entries; sog,2024-08-12 00:00:12,34.084,-119.347
338157923,EAGLE,0.716,Scorpion SMR,193.474,0.2,168.4,False,4.0,0.0,prior_mpa_entries; traffic_within_10km; dist_to_mpa_m,2024-08-12 06:04:37,34.045,-119.545
368292140,DELTA9,0.714,Casino Point SMCA (No-Take),204.837,0.1,32.1,False,3.0,0.0,prior_mpa_entries; traffic_within_10km; dist_to_mpa_m,2024-08-12 12:00:43,33.346,-118.324
232022528,SUNSET O,0.713,Point Buchon SMR,14427.173,0.0,360.0,False,13.0,0.0,prior_mpa_entries; traffic_within_10km; peak_hour,2024-08-12 12:00:35,35.175,-120.715
366943970,ISLANDER EXPRESS,0.712,Lover's Cove SMCA,49.647,5.0,329.0,False,19.0,0.0,sog; prior_mpa_entries; traffic_within_10km,2024-08-12 00:00:00,33.345,-118.322
367547060,KOKOPELLI,0.711,Morro Bay SMRMA,131.947,0.0,0.0,False,13.0,0.0,prior_mpa_entries; traffic_within_10km; dist_to_mpa_m,2024-08-12 18:44:14,35.367,-120.856
366979370,EDITH FOSS,0.71,Point Vicente SMCA (No-Take),17996.25,0.1,350.6,False,6.0,0.0,prior_mpa_entries; n_prior_mpas_visited; traffic_within_10km,2024-08-12 18:00:19,33.909,-118.453
338398675,COASTAL ESCAPE,0.71,Long Point SMR,351.46,0.5,259.9,False,4.0,0.0,sog; prior_mpa_entries; dist_to_mpa_m,2024-08-12 18:40:17,33.403,-118.366
367136030,VIKING,0.708,Abalone Cove SMCA,10281.357,5.7,311.7,False,9.0,0.0,prior_mpa_entries; sog; peak_hour,2024-08-12 00:00:15,33.718,-118.264
367783640,SYCAMORE,0.706,Upper Newport Bay SMCA,1773.176,0.1,360.0,False,10.0,0.0,prior_mpa_entries; peak_hour; wave_height_m,2024-08-12 18:00:42,33.609,-117.923
367480680,MAKA LEA,0.704,Abalone Cove SMCA,8863.447,0.7,0.0,False,4.0,0.0,prior_mpa_entries; sog; wave_height_m,2024-08-12 00:10:10,33.72,-118.279
366977270,VICTORY,0.704,Bolsa Chica Basin SMCA (No-Take),17223.866,0.1,360.0,False,16.0,0.0,prior_mpa_entries; traffic_within_10km; peak_hour,2024-08-12 18:00:05,33.594,-118.188
367732440,GRUNT,0.703,Arrow Point to Lion Head Point SMCA,123.625,0.1,127.0,False,6.0,0.0,prior_mpa_entries; dist_to_mpa_m; traffic_within_10km,2024-08-12 12:00:14,33.452,-118.502
